"ICD-10-AM Code","ICD-10-AM Code Descriptor","ICD-10 Map","Field4"
"X71.8","Intentional self-harm by drowning and submersion in other specified water","X71",
"X71.9","Intentional self-harm by drowning and submersion in unspecified water","X71",
"X74.1","Intentional self-harm by air rifle discharge","X74",
"X74.2","Intentional self-harm by shotgun discharge","X74",
"X74.3","Intentional self-harm by small calibre rifle discharge","X74",
"X74.4","Intentional self-harm by large calibre rifle discharge","X74",
"X74.9","Intentional self-harm by other and unspecified firearm discharge","X74",
"X78.0","Intentional self-harm by knife","X78",
"X78.1","Intentional self-harm by razor blade","X78",
"X78.2","Intentional self-harm by hypodermic needle and syringe","X78",
"X78.3","Intentional self-harm by glass","X78",
"X78.8","Intentional self-harm by other specified sharp object","X78",
"X78.9","Intentional self-harm by sharp object, unspecified","X78",
"X81.0","Intentional self-harm by jumping or lying before a train","X81",
"X81.1","Intentional self-harm by jumping or lying before a tram","X81",
"X81.2","Intentional self-harm by jumping or lying before a motor vehicle","X81",
"X81.8","Intentional self-harm by jumping or lying before other specified moving object","X81",
"X81.9","Intentional self-harm by jumping or lying before unspecified moving object","X81",
"X82.0","Intentional self-harm by crashing of car with other motor vehicle, nontraffic","X82",
"X82.1","Intentional self-harm by crashing of car with fixed or stationary object, nontraffic","X82",
"X82.2","Intentional self-harm by other specified crashing of motor vehicle, nontraffic","X82",
"X82.3","Intentional self-harm by unspecified crashing of motor vehicle, nontraffic","X82",
"X82.4","Intentional self-harm by crashing of car with other motor vehicle, traffic","X82",
"X82.5","Intentional self-harm by crashing of car with fixed or stationary object, traffic","X82",
"X82.8","Intentional self-harm by other specified crashing of motor vehicle, traffic","X82",
"X82.9","Intentional self-harm by unspecified crashing of motor vehicle, traffic","X82",
"X85.00","Assault by drugs, medicaments and biological substances, spouse or domestic partner","X85.0",
"X85.01","Assault by drugs, medicaments and biological substances, parent","X85.0",
"X85.02","Assault by drugs, medicaments and biological substances, other family member","X85.0",
"X85.03","Assault by drugs, medicaments and biological substances, carer","X85.0",
"X85.04","Assault by drugs, medicaments and biological substances, acquaintance or friend","X85.0",
"X85.05","Assault by drugs, medicaments and biological substances, official authorities","X85.0",
"X85.06","Assault by drugs, medicaments and biological substances, person unknown to the victim","X85.0",
"X85.07","Assault by drugs, medicaments and biological substances, multiple persons unknown to the victim","X85.0",
"X85.08","Assault by drugs, medicaments and biological substances, other specified person","X85.0",
"X85.09","Assault by drugs, medicaments and biological substances, unspecified person","X85.0",
"X86.00","Assault by corrosive substance, spouse or domestic partner","X86.0",
"X86.01","Assault by corrosive substance, parent","X86.0",
"X86.02","Assault by corrosive substance, other family member","X86.0",
"X86.03","Assault by corrosive substance, carer","X86.0",
"X86.04","Assault by corrosive substance, acquaintance or friend","X86.0",
"X86.05","Assault by corrosive substance, official authorities","X86.0",
"X86.06","Assault by corrosive substance, person unknown to the victim","X86.0",
"X86.07","Assault by corrosive substance, multiple persons unknown to the victim","X86.0",
"X86.08","Assault by corrosive substance, other specified person","X86.0",
"X86.09","Assault by corrosive substance, unspecified person","X86.0",
"X87.00","Assault by pesticides, spouse or domestic partner","X87.0",
"X87.01","Assault by pesticides, parent","X87.0",
"X87.02","Assault by pesticides, other family member","X87.0",
"X87.03","Assault by pesticides, carer","X87.0",
"X87.04","Assault by pesticides, acquaintance or friend","X87.0",
"X87.05","Assault by pesticides, official authorities","X87.0",
"X87.06","Assault by pesticides, person unknown to the victim","X87.0",
"X87.07","Assault by pesticides, multiple persons unknown to the victim","X87.0",
"X87.08","Assault by pesticides, other specified person","X87.0",
"X87.09","Assault by pesticides, unspecified person","X87.0",
"X88.00","Assault by gases and vapours, spouse or domestic partner","X88.0",
"X88.01","Assault by gases and vapours, parent","X88.0",
"X88.02","Assault by gases and vapours, other family member","X88.0",
"X88.03","Assault by gases and vapours, carer","X88.0",
"X88.04","Assault by gases and vapours, acquaintance or friend","X88.0",
"X88.05","Assault by gases and vapours, official authorities","X88.0",
"X88.06","Assault by gases and vapours, person unknown to the victim","X88.0",
"X88.07","Assault by gases and vapours, multiple persons unknown to the victim","X88.0",
"X88.08","Assault by gases and vapours, other specified person","X88.0",
"X88.09","Assault by gases and vapours, unspecified person","X88.0",
"X89.00","Assault by other specified chemicals and noxious substances, spouse or domestic partner","X89.0",
"X89.01","Assault by other specified chemicals and noxious substances, parent","X89.0",
"X89.02","Assault by other specified chemicals and noxious substances, other family member","X89.0",
"X89.03","Assault by other specified chemicals and noxious substances, carer","X89.0",
"X89.04","Assault by other specified chemicals and noxious substances, acquaintance or friend","X89.0",
"X89.05","Assault by other specified chemicals and noxious substances, official authorities","X89.0",
"X89.06","Assault by other specified chemicals and noxious substances, person unknown to the victim","X89.0",
"X89.07","Assault by other specified chemicals and noxious substances, multiple persons unknown to the victim","X89.0",
"X89.08","Assault by other specified chemicals and noxious substances, other specified person","X89.0",
"X89.09","Assault by other specified chemicals and noxious substances, unspecified person","X89.0",
"X90.00","Assault by unspecified chemical or noxious substance, spouse or domestic partner","X90.0",
"X90.01","Assault by unspecified chemical or noxious substance, parent","X90.0",
"X90.02","Assault by unspecified chemical or noxious substance, other family member","X90.0",
"X90.03","Assault by unspecified chemical or noxious substance, carer","X90.0",
"X90.04","Assault by unspecified chemical or noxious substance, acquaintance or friend","X90.0",
"X90.05","Assault by unspecified chemical or noxious substance, official authorities","X90.0",
"X90.06","Assault by unspecified chemical or noxious substance, person unknown to the victim","X90.0",
"X90.07","Assault by unspecified chemical or noxious substance, multiple persons unknown to the victim","X90.0",
"X90.08","Assault by unspecified chemical or noxious substance, other specified person","X90.0",
"X90.09","Assault by unspecified chemical or noxious substance, unspecified person","X90.0",
"X91.00","Assault by hanging, strangulation and suffocation, spouse or domestic partner","X91.0",
"X91.01","Assault by hanging, strangulation and suffocation, parent","X91.0",
"X91.02","Assault by hanging, strangulation and suffocation, other family member","X91.0",
"X91.03","Assault by hanging, strangulation and suffocation, carer","X91.0",
"X91.04","Assault by hanging, strangulation and suffocation, acquaintance or friend","X91.0",
"X91.05","Assault by hanging, strangulation and suffocation, official authorities","X91.0",
"X91.06","Assault by hanging, strangulation and suffocation, person unknown to the victim","X91.0",
"X91.07","Assault by hanging, strangulation and suffocation, multiple persons unknown to the victim","X91.0",
"X91.08","Assault by hanging, strangulation and suffocation, other specified person","X91.0",
"X91.09","Assault by hanging, strangulation and suffocation, unspecified person","X91.0",
"X92.0","Assault by drowning and submersion in bath-tub","X92",
"X92.00","Assault by drowning and submersion in bath-tub, spouse or domestic partner","X92",
"X92.01","Assault by drowning and submersion in bath-tub, parent","X92",
"X92.02","Assault by drowning and submersion in bath-tub, other family member","X92",
"X92.03","Assault by drowning and submersion in bath-tub, carer","X92",
"X92.04","Assault by drowning and submersion in bath-tub, acquaintance or friend","X92",
"X92.05","Assault by drowning and submersion in bath-tub, official authorities","X92",
"X92.06","Assault by drowning and submersion in bath-tub, person unknown to the victim","X92",
"X92.07","Assault by drowning and submersion in bath-tub, multiple persons unknown to the victim","X92",
"X92.08","Assault by drowning and submersion in bath-tub, other specified person","X92",
"X92.09","Assault by drowning and submersion in bath-tub, unspecified person","X92",
"X92.1","Assault by drowning and submersion in swimming pool","X92",
"X92.10","Assault by drowning and submersion in swimming pool, spouse or domestic partner","X92",
"X92.11","Assault by drowning and submersion in swimming pool, parent","X92",
"X92.12","Assault by drowning and submersion in swimming pool, other family member","X92",
"X92.13","Assault by drowning and submersion in swimming pool, carer","X92",
"X92.14","Assault by drowning and submersion in swimming pool, acquaintance or friend","X92",
"X92.15","Assault by drowning and submersion in swimming pool, official authorities","X92",
"X92.16","Assault by drowning and submersion in swimming pool, person unknown to the victim","X92",
"X92.17","Assault by drowning and submersion in swimming pool, multiple persons unknown to the victim","X92",
"X92.18","Assault by drowning and submersion in swimming pool, other specified person","X92",
"X92.19","Assault by drowning and submersion in swimming pool, unspecified person","X92",
"X92.2","Assault by drowning and submersion in natural water","X92",
"X92.20","Assault by drowning and submersion in natural water, spouse or domestic partner","X92",
"X92.21","Assault by drowning and submersion in natural water, parent","X92",
"X92.22","Assault by drowning and submersion in natural water, other family member","X92",
"X92.23","Assault by drowning and submersion in natural water, carer","X92",
"X92.24","Assault by drowning and submersion in natural water, acquaintance or friend","X92",
"X92.25","Assault by drowning and submersion in natural water, official authorities","X92",
"X92.26","Assault by drowning and submersion in natural water, person unknown to the victim","X92",
"X92.27","Assault by drowning and submersion in natural water, multiple persons unknown to the victim","X92",
"X92.28","Assault by drowning and submersion in natural water, other specified person","X92",
"X92.29","Assault by drowning and submersion in natural water, unspecified person","X92",
"X92.8","Assault by drowning and submersion in other specified water","X92",
"X92.80","Assault by drowning and submersion in other specified water, spouse or domestic partner","X92",
"X92.81","Assault by drowning and submersion in other specified water, parent","X92",
"X92.82","Assault by drowning and submersion in other specified water, other family member","X92",
"X92.83","Assault by drowning and submersion in other specified water, carer","X92",
"X92.84","Assault by drowning and submersion in other specified water, acquaintance or friend","X92",
"X92.85","Assault by drowning and submersion in other specified water, official authorities","X92",
"X92.86","Assault by drowning and submersion in other specified water, person unknown to the victim","X92",
"X92.87","Assault by drowning and submersion in other specified water, multiple persons unknown to the victim","X92",
"X92.88","Assault by drowning and submersion in other specified water, other specified person","X92",
"X92.89","Assault by drowning and submersion in other specified water, unspecified person","X92",
"X92.9","Assault by drowning and submersion in unspecified water","X92",
"X92.90","Assault by drowning and submersion in unspecified water, spouse or domestic partner","X92",
"X92.91","Assault by drowning and submersion in unspecified water, parent","X92",
"X92.92","Assault by drowning and submersion in unspecified water, other family member","X92",
"X92.93","Assault by drowning and submersion in unspecified water, carer","X92",
"X92.94","Assault by drowning and submersion in unspecified water, acquaintance or friend","X92",
"X92.95","Assault by drowning and submersion in unspecified water, official authorities","X92",
"X92.96","Assault by drowning and submersion in unspecified water, person unknown to the victim","X92",
"X92.97","Assault by drowning and submersion in unspecified water, multiple persons unknown to the victim","X92",
"X92.98","Assault by drowning and submersion in unspecified water, other specified person","X92",
"X92.99","Assault by drowning and submersion in unspecified water, unspecified person","X92",
"X93.00","Assault by handgun discharge, spouse or domestic partner","X93",
"X93.01","Assault by handgun discharge, parent","X93",
"X93.02","Assault by handgun discharge, other family member","X93",
"X93.03","Assault by handgun discharge, carer","X93",
"X93.04","Assault by handgun discharge, acquaintance or friend","X93",
"X93.05","Assault by handgun discharge, official authorities","X93",
"X93.06","Assault by handgun discharge, person unknown to the victim","X93",
"X93.07","Assault by handgun discharge, multiple persons unknown to the victim","X93",
"X93.08","Assault by handgun discharge, other specified person","X93",
"X93.09","Assault by handgun discharge, unspecified person","X93",
"X95.1","Assault by air rifle discharge","X95",
"X95.10","Assault by air rifle discharge, spouse or domestic partner","X95",
"X95.11","Assault by air rifle discharge, parent","X95",
"X95.12","Assault by air rifle discharge, other family member","X95",
"X95.13","Assault by air rifle discharge, carer","X95",
"X95.14","Assault by air rifle discharge, acquaintance or friend","X95",
"X95.15","Assault by air rifle discharge, official authorities","X95",
"X95.16","Assault by air rifle discharge, person unknown to the victim","X95",
"X95.17","Assault by air rifle discharge, multiple persons unknown to the victim","X95",
"X95.18","Assault by air rifle discharge other specified person","X95",
"X95.19","Assault by air rifle discharge, unspecified person","X95",
"X95.2","Assault by shotgun discharge","X95",
"X95.20","Assault by shotgun discharge, spouse or domestic partner ","X95",
"X95.21","Assault by shotgun discharge, parent","X95",
"X95.22","Assault by shotgun discharge, other family member","X95",
"X95.23","Assault by shotgun discharge, carer","X95",
"X95.24","Assault by shotgun discharge, acquaintance or friend","X95",
"X95.25","Assault by shotgun discharge, official authorities","X95",
"X95.26","Assault by shotgun discharge, person unknown to the victim","X95",
"X95.27","Assault by shotgun discharge, multiple persons unknown to the victim","X95",
"X95.28","Assault by shotgun discharge, other specified person","X95",
"X95.29","Assault by shotgun discharge, unspecified person","X95",
"X95.3","Assault by small calibre rifle discharge","X95",
"X95.30","Assault by small calibre rifle discharge, spouse or domestic partner","X95",
"X95.31","Assault by small calibre rifle discharge, parent","X95",
"X95.32","Assault by small calibre rifle discharge, other family member","X95",
"X95.33","Assault by small calibre rifle discharge, carer","X95",
"X95.34","Assault by small calibre rifle discharge, acquaintance or friend","X95",
"X95.35","Assault by small calibre rifle discharge, official authorities","X95",
"X95.36","Assault by small calibre rifle discharge, person unknown to the victim","X95",
"X95.37","Assault by small calibre rifle discharge, multiple persons unknown to the victim","X95",
"X95.38","Assault by small calibre rifle discharge, other specified person","X95",
"X95.39","Assault by small calibre rifle discharge, unspecified person","X95",
"X95.4","Assault by large calibre rifle discharge","X95",
"X95.40","Assault by large calibre rifle discharge, spouse or domestic partner","X95",
"X95.41","Assault by large calibre rifle discharge, parent","X95",
"X95.42","Assault by large calibre rifle discharge, other family member","X95",
"X95.43","Assault by large calibre rifle discharge, carer","X95",
"X95.44","Assault by large calibre rifle discharge, acquaintance or friend","X95",
"X95.45","Assault by large calibre rifle discharge, official authorities","X95",
"X95.46","Assault by large calibre rifle discharge, person unknown to the victim","X95",
"X95.47","Assault by large calibre rifle discharge, multiple persons unknown to the victim","X95",
"X95.48","Assault by large calibre rifle discharge, other specified person","X95",
"X95.49","Assault by large calibre rifle discharge, unspecified person","X95",
"X95.9","Assault by other and unspecified firearm discharge","X95",
"X95.90","Assault by other and unspecified firearm discharge, spouse or domestic partner","X95",
"X95.91","Assault by other and unspecified firearm discharge, parent","X95",
"X95.92","Assault by other and unspecified firearm discharge, other family member","X95",
"X95.93","Assault by other and unspecified firearm discharge, carer","X95",
"X95.94","Assault by other and unspecified firearm discharge, acquaintance or friend","X95",
"X95.95","Assault by other and unspecified firearm discharge, official authorities","X95",
"X95.96","Assault by other and unspecified firearm discharge, person unknown to the victim","X95",
"X95.97","Assault by other and unspecified firearm discharge, multiple persons unknown to the victim","X95",
"X95.98","Assault by other and unspecified firearm discharge, other specified person","X95",
"X95.99","Assault by other and unspecified firearm discharge, unspecified person","X95",
"X96.00","Assault by explosive material, spouse or domestic partner","X96",
"X96.01","Assault by explosive material, parent","X96",
"X96.02","Assault by explosive material, other family member","X96",
"X96.03","Assault by explosive material, carer","X96",
"X96.04","Assault by explosive material, acquaintance or friend","X96",
"X96.05","Assault by explosive material, official authorities","X96",
"X96.06","Assault by explosive material, person unknown to the victim","X96",
"X96.07","Assault by explosive material, multiple persons unknown to the victim","X96",
"X96.08","Assault by explosive material, other specified person","X96",
"X96.09","Assault by explosive material, unspecified person","X96",
"X97.00","Assault by smoke, fire and flames, spouse or domestic partner","X97",
"X97.01","Assault by smoke, fire and flames, parent","X97",
"X97.02","Assault by smoke, fire and flames, other family member","X97",
"X97.03","Assault by smoke, fire and flames, carer","X97",
"X97.04","Assault by smoke, fire and flames, acquaintance or friend","X97",
"X97.05","Assault by smoke, fire and flames, official authorities","X97",
"X97.06","Assault by smoke, fire and flames, person unknown to the victim","X97",
"X97.07","Assault by smoke, fire and flames, multiple persons unknown to the victim","X97",
"X97.08","Assault by smoke, fire and flames, other specified person","X97",
"X97.09","Assault by smoke, fire and flames, unspecified person","X97",
"X98.00","Assault by steam, hot vapours and hot objects, spouse or domestic partner","X98",
"X98.01","Assault by steam, hot vapours and hot objects, parent","X98",
"X98.02","Assault by steam, hot vapours and hot objects, other family member","X98",
"X98.03","Assault by steam, hot vapours and hot objects, carer","X98",
"X98.04","Assault by steam, hot vapours and hot objects, acquaintance or friend","X98",
"X98.05","Assault by steam, hot vapours and hot objects, official authorities","X98",
"X98.06","Assault by steam, hot vapours and hot objects, person unknown to the victim","X98",
"X98.07","Assault by steam, hot vapours and hot objects, multiple persons unknown to the victim","X98",
"X98.08","Assault by steam, hot vapours and hot objects, other specified person","X98",
"X98.09","Assault by steam, hot vapours and hot objects, unspecified person","X98",
"X99.0","Assault by knife","X99",
"X99.00","Assault by knife, spouse or domestic partner","X99",
"X99.01","Assault by knife, parent","X99",
"X99.02","Assault by knife, other family member","X99",
"X99.03","Assault by knife, carer","X99",
"X99.04","Assault by knife, acquaintance or friend","X99",
"X99.05","Assault by knife, official authorities","X99",
"X99.06","Assault by knife, person unknown to the victim","X99",
"X99.07","Assault by knife, multiple persons unknown to the victim","X99",
"X99.08","Assault by knife, other specified person","X99",
"X99.09","Assault by knife, unspecified person","X99",
"X99.1","Assault by razor blade","X99",
"X99.10","Assault by razor blade, spouse or domestic partner","X99",
"X99.11","Assault by razor blade, parent","X99",
"X99.12","Assault by razor blade, other family member ","X99",
"X99.13","Assault by razor blade, carer","X99",
"X99.14","Assault by razor blade, acquaintance or friend","X99",
"X99.15","Assault by razor blade, official authorities","X99",
"X99.16","Assault by razor blade, person unknown to the victim","X99",
"X99.17","Assault by razor blade, multiple persons unknown to the victim","X99",
"X99.18","Assault by razor blade, other specified person","X99",
"X99.19","Assault by razor blade, unspecified person","X99",
"X99.2","Assault by hypodermic needle and syringe","X99",
"X99.20","Assault by hypodermic needle and syringe, spouse or domestic partner","X99",
"X99.21","Assault by hypodermic needle and syringe, parent","X99",
"X99.22","Assault by hypodermic needle and syringe, other family member","X99",
"X99.23","Assault by hypodermic needle and syringe, carer","X99",
"X99.24","Assault by hypodermic needle and syringe, acquaintance or friend","X99",
"X99.25","Assault by hypodermic needle and syringe, official authorities","X99",
"X99.26","Assault by hypodermic needle and syringe, person unknown to the victim","X99",
"X99.27","Assault by hypodermic needle and syringe, multiple persons unknown to the victim","X99",
"X99.28","Assault by hypodermic needle and syringe, other specified person","X99",
"X99.29","Assault by hypodermic needle and syringe, unspecified person","X99",
"X99.3","Assault by glass","X99",
"X99.30","Assault by glass, spouse or domestic partner","X99",
"X99.31","Assault by glass, parent","X99",
"X99.32","Assault by glass, other family member","X99",
"X99.33","Assault by glass, carer","X99",
"X99.34","Assault by glass, acquaintance or friend","X99",
"X99.35","Assault by glass, official authorities","X99",
"X99.36","Assault by glass, person unknown to the victim","X99",
"X99.37","Assault by glass, multiple persons unknown to the victim","X99",
"X99.38","Assault by glass, other specified person","X99",
"X99.39","Assault by glass, unspecified person","X99",
"X99.8","Assault by other specified sharp object","X99",
"X99.80","Assault by other specified sharp object, spouse or domestic partner","X99",
"X99.81","Assault by other specified sharp object, parent","X99",
"X99.82","Assault by other specified sharp object, other family member","X99",
"X99.83","Assault by other specified sharp object, carer","X99",
"X99.84","Assault by other specified sharp object, acquaintance or friend","X99",
"X99.85","Assault by other specified sharp object, official authorities","X99",
"X99.86","Assault by other specified sharp object, person unknown to the victim","X99",
"X99.87","Assault by other specified sharp object, multiple persons unknown to the victim","X99",
"X99.88","Assault by other specified sharp object, other specified person","X99",
"X99.89","Assault by other specified sharp object, unspecified person","X99",
"X99.9","Assault by sharp object, unspecified","X99",
"X99.90","Assault by sharp object, unspecified, spouse or domestic partner","X99",
"X99.91","Assault by sharp object, unspecified, parent","X99",
"X99.92","Assault by sharp object, unspecified, other family member","X99",
"X99.93","Assault by sharp object, unspecified, carer","X99",
"X99.94","Assault by sharp object, unspecified, acquaintance or friend","X99",
"X99.95","Assault by sharp object, unspecified, official authorities","X99",
"X99.96","Assault by sharp object, unspecified, person unknown to the victim","X99",
"X99.97","Assault by sharp object, unspecified, multiple persons unknown to the victim","X99",
"X99.98","Assault by sharp object, unspecified, other specified person","X99",
"X99.99","Assault by sharp object, unspecified, unspecified person","X99",
"Y00.00","Assault by blunt object, spouse or domestic partner","Y00",
"Y00.01","Assault by blunt object, parent","Y00",
"Y00.02","Assault by blunt object, other family member","Y00",
"Y00.03","Assault by blunt object, carer","Y00",
"Y00.04","Assault by blunt object, acquaintance or friend","Y00",
"Y00.05","Assault by blunt object, official authorities","Y00",
"Y00.06","Assault by blunt object, person unknown to the victim","Y00",
"Y00.07","Assault by blunt object, multiple persons unknown to the victim","Y00",
"Y00.08","Assault by blunt object, other specified person","Y00",
"Y00.09","Assault by blunt object, unspecified person","Y00",
"Y01.00","Assault by pushing from high place, spouse or domestic partner","Y01",
"Y01.01","Assault by pushing from high place, parent","Y01",
"Y01.02","Assault by pushing from high place, other family member","Y01",
"Y01.03","Assault by pushing from high place, carer","Y01",
"Y01.04","Assault by pushing from high place, acquaintance or friend","Y01",
"Y01.05","Assault by pushing from high place, official authorities","Y01",
"Y01.06","Assault by pushing from high place, person unknown to the victim","Y01",
"Y01.07","Assault by pushing from high place, multiple persons unknown to the victim","Y01",
"Y01.08","Assault by pushing from high place, other specified person","Y01",
"Y01.09","Assault by pushing from high place, unspecified person","Y01",
"Y02.10","Assault by pushing or placing victim before a train, spouse or domestic partner","Y02",
"Y02.11","Assault by pushing or placing victim before a train, parent","Y02",
"Y02.12","Assault by pushing or placing victim before a train, other family member","Y02",
"Y02.13","Assault by pushing or placing victim before a train, carer","Y02",
"Y02.14","Assault by pushing or placing victim before a train, acquaintance or friend","Y02",
"Y02.15","Assault by pushing or placing victim before a train, official authorities","Y02",
"Y02.16","Assault by pushing or placing victim before a train, person unknown to the victim","Y02",
"Y02.17","Assault by pushing or placing victim before a train, multiple persons unknown to the victim","Y02",
"Y02.18","Assault by pushing or placing victim before a train, other specified person","Y02",
"Y02.19","Assault by pushing or placing victim before a train, unspecified person","Y02",
"Y02.20","Assault by pushing or placing victim before a tram, spouse or domestic partner","Y02",
"Y02.21","Assault by pushing or placing victim before a tram, parent","Y02",
"Y02.22","Assault by pushing or placing victim before a tram, other family member","Y02",
"Y02.23","Assault by pushing or placing victim before a tram, carer","Y02",
"Y02.24","Assault by pushing or placing victim before a tram, acquaintance or friend","Y02",
"Y02.25","Assault by pushing or placing victim before a tram, official authorities","Y02",
"Y02.26","Assault by pushing or placing victim before a tram, person unknown to the victim","Y02",
"Y02.27","Assault by pushing or placing victim before a tram, multiple persons unknown to the victim","Y02",
"Y02.28","Assault by pushing or placing victim before a tram, other specified person","Y02",
"Y02.29","Assault by pushing or placing victim before a tram, unspecified person","Y02",
"Y02.30","Assault by pushing or placing victim before a motor vehicle, spouse or domestic partner","Y02",
"Y02.31","Assault by pushing or placing victim before a motor vehicle, parent","Y02",
"Y02.32","Assault by pushing or placing victim before a motor vehicle, other family member","Y02",
"Y02.33","Assault by pushing or placing victim before a motor vehicle, carer","Y02",
"Y02.34","Assault by pushing or placing victim before a motor vehicle, acquaintance or friend","Y02",
"Y02.35","Assault by pushing or placing victim before a motor vehicle, official authorities","Y02",
"Y02.36","Assault by pushing or placing victim before a motor vehicle, person unknown to the victim","Y02",
"Y02.37","Assault by pushing or placing victim before a motor vehicle, multiple persons unknown to the victim","Y02",
"Y02.38","Assault by pushing or placing victim before a motor vehicle, other specified person","Y02",
"Y02.39","Assault by pushing or placing victim before a motor vehicle, unspecified person","Y02",
"Y02.80","Assault by pushing or placing victim before other specified moving object, spouse or domestic partner","Y02",
"Y02.81","Assault by pushing or placing victim before other specified moving object, parent","Y02",
"Y02.82","Assault by pushing or placing victim before other specified moving object, other family member","Y02",
"Y02.83","Assault by pushing or placing victim before other specified moving object, carer","Y02",
"Y02.84","Assault by pushing or placing victim before other specified moving object, acquaintance or friend","Y02",
"Y02.85","Assault by pushing or placing victim before other specified moving object, official authorities","Y02",
"Y02.86","Assault by pushing or placing victim before other specified moving object, person unknown to the victim","Y02",
"Y02.87","Assault by pushing or placing victim before other specified moving object, multiple persons unknown to the victim","Y02",
"Y02.88","Assault by pushing or placing victim before other specified moving object, other specified person","Y02",
"Y02.89","Assault by pushing or placing victim before other specified moving object, unspecified person","Y02",
"Y02.90","Assault by pushing or placing victim before unspecified moving object, spouse or domestic partner","Y02",
"Y02.91","Assault by pushing or placing victim before unspecified moving object, parent","Y02",
"Y02.92","Assault by pushing or placing victim before unspecified moving object, other family member","Y02",
"Y02.93","Assault by pushing or placing victim before unspecified moving object, carer","Y02",
"Y02.94","Assault by pushing or placing victim before unspecified moving object, acquaintance or friend","Y02",
"Y02.95","Assault by pushing or placing victim before unspecified moving object, official authorities","Y02",
"Y02.96","Assault by pushing or placing victim before unspecified moving object, person unknown to the victim","Y02",
"Y02.97","Assault by pushing or placing victim before unspecified moving object, multiple persons unknown to the victim","Y02",
"Y02.98","Assault by pushing or placing victim before unspecified moving object, other specified person","Y02",
"Y02.99","Assault by pushing or placing victim before unspecified moving object, unspecified person","Y02",
"Y03.0","Assault by crashing of car with other motor vehicle, nontraffic","Y03",
"Y03.00","Assault by crashing of car with other motor vehicle, nontraffic, spouse or domestic partner","Y03",
"Y03.01","Assault by crashing of car with other motor vehicle, nontraffic, parent","Y03",
"Y03.02","Assault by crashing of car with other motor vehicle, nontraffic, other family member","Y03",
"Y03.03","Assault by crashing of car with other motor vehicle, nontraffic, carer","Y03",
"Y03.04","Assault by crashing of car with other motor vehicle, nontraffic, acquaintance or friend","Y03",
"Y03.05","Assault by crashing of car with other motor vehicle, nontraffic, official authorities","Y03",
"Y03.06","Assault by crashing of car with other motor vehicle, nontraffic, person unknown to the victim","Y03",
"Y03.07","Assault by crashing of car with other motor vehicle, nontraffic, multiple persons unknown to the victim","Y03",
"Y03.08","Assault by crashing of car with other motor vehicle, nontraffic, other specified person","Y03",
"Y03.09","Assault by crashing of car with other motor vehicle, nontraffic, unspecified person","Y03",
"Y03.1","Assault by crashing of car with fixed or stationary object, nontraffic","Y03",
"Y03.10","Assault by crashing of car with fixed or stationary object, nontraffic, spouse or domestic partner","Y03",
"Y03.11","Assault by crashing of car with fixed or stationary object, nontraffic, parent","Y03",
"Y03.12","Assault by crashing of car with fixed or stationary object, nontraffic, other family member","Y03",
"Y03.13","Assault by crashing of car with fixed or stationary object, nontraffic, carer","Y03",
"Y03.14","Assault by crashing of car with fixed or stationary object, nontraffic, acquaintance or friend","Y03",
"Y03.15","Assault by crashing of car with fixed or stationary object, nontraffic, official authorities","Y03",
"Y03.16","Assault by crashing of car with fixed or stationary object, nontraffic, person unknown to the victim","Y03",
"Y03.17","Assault by crashing of car with fixed or stationary object, nontraffic, multiple persons unknown to the victim","Y03",
"Y03.18","Assault by crashing of car with fixed or stationary object, nontraffic, other specified person","Y03",
"Y03.19","Assault by crashing of car with fixed or stationary object, nontraffic, unspecified person","Y03",
"Y03.2","Assault by other specified crashing of motor vehicle, nontraffic","Y03",
"Y03.20","Assault by other specified crashing of motor vehicle, nontraffic, spouse or domestic partner","Y03",
"Y03.21","Assault by other specified crashing of motor vehicle, nontraffic, parent","Y03",
"Y03.22","Assault by other specified crashing of motor vehicle, nontraffic, other family member","Y03",
"Y03.23","Assault by other specified crashing of motor vehicle, nontraffic, carer","Y03",
"Y03.24","Assault by other specified crashing of motor vehicle, nontraffic, acquaintance or friend","Y03",
"Y03.25","Assault by other specified crashing of motor vehicle, nontraffic, official authorities","Y03",
"Y03.26","Assault by other specified crashing of motor vehicle, nontraffic, person unknown to the victim","Y03",
"Y03.27","Assault by other specified crashing of motor vehicle, nontraffic, multiple persons unknown to the victim","Y03",
"Y03.28","Assault by other specified crashing of motor vehicle, nontraffic, other specified person","Y03",
"Y03.29","Assault by other specified crashing of motor vehicle, nontraffic, unspecified person","Y03",
"Y03.3","Assault by unspecified crashing of motor vehicle, nontraffic","Y03",
"Y03.30","Assault by unspecified crashing of motor vehicle, nontraffic, spouse or domestic partner","Y03",
"Y03.31","Assault by unspecified crashing of motor vehicle, nontraffic, parent","Y03",
"Y03.32","Assault by unspecified crashing of motor vehicle, nontraffic, other family member","Y03",
"Y03.33","Assault by unspecified crashing of motor vehicle, nontraffic, carer","Y03",
"Y03.34","Assault by unspecified crashing of motor vehicle, nontraffic, acquaintance or friend","Y03",
"Y03.35","Assault by unspecified crashing of motor vehicle, nontraffic, official authorities","Y03",
"Y03.36","Assault by unspecified crashing of motor vehicle, nontraffic, person unknown to the victim","Y03",
"Y03.37","Assault by unspecified crashing of motor vehicle, nontraffic, multiple persons unknown to the victim","Y03",
"Y03.38","Assault by unspecified crashing of motor vehicle, nontraffic, other specified person","Y03",
